Label,Class
deeploc_train_66,Cell.membrane
deeploc_train_67,Cell.membrane
deeploc_train_68,Cell.membrane
deeploc_train_69,Cell.membrane
deeploc_train_70,Cell.membrane
deeploc_train_71,Cell.membrane
deeploc_train_72,Cell.membrane
deeploc_train_73,Cell.membrane
deeploc_train_74,Cell.membrane
deeploc_train_75,Cell.membrane
deeploc_train_76,Cell.membrane
deeploc_train_77,Cell.membrane
deeploc_train_78,Cell.membrane
deeploc_train_79,Cell.membrane
deeploc_train_80,Cell.membrane
deeploc_train_81,Cell.membrane
deeploc_train_82,Cell.membrane
deeploc_train_83,Cell.membrane
deeploc_train_84,Cell.membrane
deeploc_train_85,Cell.membrane
deeploc_train_86,Cell.membrane
deeploc_train_87,Cell.membrane
deeploc_train_88,Cell.membrane
deeploc_train_89,Cell.membrane
deeploc_train_90,Cell.membrane
deeploc_train_91,Cell.membrane
deeploc_train_92,Cell.membrane
deeploc_train_93,Cell.membrane
deeploc_train_94,Cell.membrane
deeploc_train_95,Cell.membrane
deeploc_train_96,Cell.membrane
deeploc_train_97,Cell.membrane
deeploc_train_98,Cell.membrane
deeploc_train_99,Cell.membrane
deeploc_train_100,Cell.membrane
deeploc_train_101,Cell.membrane
deeploc_train_102,Cell.membrane
deeploc_train_103,Cell.membrane
deeploc_train_104,Cell.membrane
deeploc_train_105,Cell.membrane
deeploc_train_106,Cell.membrane
deeploc_train_107,Cell.membrane
deeploc_train_108,Cell.membrane
deeploc_train_109,Cell.membrane
deeploc_train_110,Cell.membrane
deeploc_train_111,Cell.membrane
deeploc_train_112,Cell.membrane
deeploc_train_113,Cell.membrane
deeploc_train_114,Cell.membrane
deeploc_train_115,Cell.membrane
deeploc_train_116,Cell.membrane
deeploc_train_117,Cell.membrane
deeploc_train_118,Cell.membrane
deeploc_train_119,Cell.membrane
deeploc_train_120,Cell.membrane
deeploc_train_121,Cell.membrane
deeploc_train_122,Cell.membrane
deeploc_train_123,Cell.membrane
deeploc_train_124,Cell.membrane
deeploc_train_125,Cell.membrane
deeploc_train_126,Cell.membrane
deeploc_train_127,Cell.membrane
deeploc_train_128,Cell.membrane
deeploc_train_129,Cell.membrane
deeploc_train_130,Cell.membrane
deeploc_train_131,Cell.membrane
deeploc_train_132,Cell.membrane
deeploc_train_133,Cell.membrane
deeploc_train_134,Cell.membrane
deeploc_train_135,Cell.membrane
deeploc_train_136,Cell.membrane
deeploc_train_137,Cell.membrane
deeploc_train_138,Cell.membrane
deeploc_train_139,Cell.membrane
deeploc_train_140,Cell.membrane
deeploc_train_141,Cell.membrane
deeploc_train_142,Cell.membrane
deeploc_train_143,Cell.membrane
deeploc_train_144,Cell.membrane
deeploc_train_145,Cell.membrane
deeploc_train_146,Cell.membrane
deeploc_train_147,Cell.membrane
deeploc_train_148,Cell.membrane
deeploc_train_149,Cell.membrane
deeploc_train_150,Cell.membrane
deeploc_train_151,Cell.membrane
deeploc_train_152,Cell.membrane
deeploc_train_153,Cell.membrane
deeploc_train_154,Cell.membrane
deeploc_train_155,Cell.membrane
deeploc_train_156,Cell.membrane
deeploc_train_157,Cell.membrane
deeploc_train_158,Cell.membrane
deeploc_train_159,Cell.membrane
deeploc_train_160,Cell.membrane
deeploc_train_161,Cell.membrane
deeploc_train_162,Cell.membrane
deeploc_train_163,Cell.membrane
deeploc_train_164,Cell.membrane
deeploc_train_165,Cell.membrane
deeploc_train_166,Cell.membrane
deeploc_train_167,Cell.membrane
deeploc_train_168,Cell.membrane
deeploc_train_169,Cell.membrane
deeploc_train_170,Cell.membrane
deeploc_train_171,Cell.membrane
deeploc_train_172,Cell.membrane
deeploc_train_173,Cell.membrane
deeploc_train_174,Cell.membrane
deeploc_train_175,Cell.membrane
deeploc_train_176,Cell.membrane
deeploc_train_177,Cell.membrane
deeploc_train_178,Cell.membrane
deeploc_train_179,Cell.membrane
deeploc_train_180,Cell.membrane
deeploc_train_181,Cell.membrane
deeploc_train_182,Cell.membrane
deeploc_train_183,Cell.membrane
deeploc_train_184,Cell.membrane
deeploc_train_185,Cell.membrane
deeploc_train_186,Cell.membrane
deeploc_train_187,Cell.membrane
deeploc_train_188,Cell.membrane
deeploc_train_189,Cell.membrane
deeploc_train_190,Cell.membrane
deeploc_train_191,Cell.membrane
deeploc_train_192,Cell.membrane
deeploc_train_193,Cell.membrane
deeploc_train_194,Cell.membrane
deeploc_train_195,Cell.membrane
deeploc_train_196,Cell.membrane
deeploc_train_197,Cell.membrane
deeploc_train_198,Cell.membrane
deeploc_train_199,Cell.membrane
deeploc_train_200,Cell.membrane
deeploc_train_201,Cell.membrane
deeploc_train_202,Cell.membrane
deeploc_train_203,Cell.membrane
deeploc_train_204,Cell.membrane
deeploc_train_205,Cell.membrane
deeploc_train_206,Cell.membrane
deeploc_train_207,Cell.membrane
deeploc_train_208,Cell.membrane
deeploc_train_209,Cell.membrane
deeploc_train_210,Cell.membrane
deeploc_train_211,Cell.membrane
deeploc_train_212,Cell.membrane
deeploc_train_213,Cell.membrane
deeploc_train_214,Cell.membrane
deeploc_train_215,Cell.membrane
deeploc_train_216,Cell.membrane
deeploc_train_217,Cell.membrane
deeploc_train_218,Cell.membrane
deeploc_train_219,Cell.membrane
deeploc_train_220,Cell.membrane
deeploc_train_221,Cell.membrane
deeploc_train_222,Cell.membrane
deeploc_train_223,Cell.membrane
deeploc_train_224,Cell.membrane
deeploc_train_225,Cell.membrane
deeploc_train_226,Cell.membrane
deeploc_train_227,Cell.membrane
deeploc_train_228,Cell.membrane
deeploc_train_229,Cell.membrane
deeploc_train_230,Cell.membrane
deeploc_train_231,Cell.membrane
deeploc_train_232,Cell.membrane
deeploc_train_233,Cell.membrane
deeploc_train_234,Cell.membrane
deeploc_train_235,Cell.membrane
deeploc_train_236,Cell.membrane
deeploc_train_237,Cell.membrane
deeploc_train_238,Cell.membrane
deeploc_train_239,Cell.membrane
deeploc_train_240,Cell.membrane
deeploc_train_241,Cell.membrane
deeploc_train_242,Cell.membrane
deeploc_train_243,Cell.membrane
deeploc_train_244,Cell.membrane
deeploc_train_245,Cell.membrane
deeploc_train_246,Cell.membrane
deeploc_train_247,Cell.membrane
deeploc_train_248,Cell.membrane
deeploc_train_249,Cell.membrane
deeploc_train_250,Cell.membrane
deeploc_train_251,Cell.membrane
deeploc_train_252,Cell.membrane
deeploc_train_253,Cell.membrane
deeploc_train_254,Cell.membrane
deeploc_train_255,Cell.membrane
deeploc_train_256,Cell.membrane
deeploc_train_257,Cell.membrane
deeploc_train_258,Cell.membrane
deeploc_train_259,Cell.membrane
deeploc_train_260,Cell.membrane
deeploc_train_261,Cell.membrane
deeploc_train_262,Cell.membrane
deeploc_train_263,Cell.membrane
deeploc_train_264,Cell.membrane
deeploc_train_265,Cell.membrane
deeploc_train_266,Cell.membrane
deeploc_train_267,Cell.membrane
deeploc_train_268,Cell.membrane
deeploc_train_269,Cell.membrane
deeploc_train_270,Cell.membrane
deeploc_train_271,Cell.membrane
deeploc_train_272,Cell.membrane
deeploc_train_273,Cell.membrane
deeploc_train_274,Cell.membrane
deeploc_train_275,Cell.membrane
deeploc_train_276,Cell.membrane
deeploc_train_277,Cell.membrane
deeploc_train_278,Cell.membrane
deeploc_train_279,Cell.membrane
deeploc_train_280,Cell.membrane
deeploc_train_281,Cell.membrane
deeploc_train_282,Cell.membrane
deeploc_train_283,Cell.membrane
deeploc_train_284,Cell.membrane
deeploc_train_285,Cell.membrane
deeploc_train_286,Cell.membrane
deeploc_train_287,Cell.membrane
deeploc_train_288,Cell.membrane
deeploc_train_289,Cell.membrane
deeploc_train_290,Cell.membrane
deeploc_train_291,Cell.membrane
deeploc_train_292,Cell.membrane
deeploc_train_293,Cell.membrane
deeploc_train_294,Cell.membrane
deeploc_train_295,Cell.membrane
deeploc_train_296,Cell.membrane
deeploc_train_297,Cell.membrane
deeploc_train_298,Cell.membrane
deeploc_train_299,Cell.membrane
deeploc_train_300,Cell.membrane
deeploc_train_301,Cell.membrane
deeploc_train_302,Cell.membrane
deeploc_train_303,Cell.membrane
deeploc_train_304,Cell.membrane
deeploc_train_305,Cell.membrane
deeploc_train_306,Cell.membrane
deeploc_train_307,Cell.membrane
deeploc_train_308,Cell.membrane
deeploc_train_309,Cell.membrane
deeploc_train_310,Cell.membrane
deeploc_train_311,Cell.membrane
deeploc_train_312,Cell.membrane
deeploc_train_313,Cell.membrane
deeploc_train_314,Cell.membrane
deeploc_train_315,Cell.membrane
deeploc_train_316,Cell.membrane
deeploc_train_317,Cell.membrane
deeploc_train_318,Cell.membrane
deeploc_train_319,Cell.membrane
deeploc_train_320,Cell.membrane
deeploc_train_321,Cell.membrane
deeploc_train_322,Cell.membrane
deeploc_train_323,Cell.membrane
deeploc_train_324,Cell.membrane
deeploc_train_325,Cell.membrane
deeploc_train_326,Cell.membrane
deeploc_train_327,Cell.membrane
deeploc_train_328,Cell.membrane
deeploc_train_329,Cell.membrane
deeploc_train_330,Cell.membrane
deeploc_train_331,Cell.membrane
deeploc_train_332,Cell.membrane
deeploc_train_333,Cell.membrane
deeploc_train_334,Cell.membrane
deeploc_train_335,Cell.membrane
deeploc_train_336,Cell.membrane
deeploc_train_337,Cell.membrane
deeploc_train_338,Cell.membrane
deeploc_train_339,Cell.membrane
deeploc_train_340,Cell.membrane
deeploc_train_341,Cell.membrane
deeploc_train_342,Cell.membrane
deeploc_train_343,Cell.membrane
deeploc_train_344,Cell.membrane
deeploc_train_345,Cell.membrane
deeploc_train_346,Cell.membrane
deeploc_train_347,Cell.membrane
deeploc_train_348,Cell.membrane
deeploc_train_349,Cell.membrane
deeploc_train_350,Cell.membrane
deeploc_train_351,Cell.membrane
deeploc_train_352,Cell.membrane
deeploc_train_353,Cell.membrane
deeploc_train_354,Cell.membrane
deeploc_train_355,Cell.membrane
deeploc_train_356,Cell.membrane
deeploc_train_357,Cell.membrane
deeploc_train_358,Cell.membrane
deeploc_train_359,Cell.membrane
deeploc_train_360,Cell.membrane
deeploc_train_361,Cell.membrane
deeploc_train_362,Cell.membrane
deeploc_train_363,Cell.membrane
deeploc_train_364,Cell.membrane
deeploc_train_365,Cell.membrane
deeploc_train_366,Cell.membrane
deeploc_train_367,Cell.membrane
deeploc_train_368,Cell.membrane
deeploc_train_369,Cell.membrane
deeploc_train_370,Cell.membrane
deeploc_train_371,Cell.membrane
deeploc_train_372,Cell.membrane
deeploc_train_373,Cell.membrane
deeploc_train_374,Cell.membrane
deeploc_train_375,Cell.membrane
deeploc_train_376,Cell.membrane
deeploc_train_377,Cell.membrane
deeploc_train_378,Cell.membrane
deeploc_train_379,Cell.membrane
deeploc_train_380,Cell.membrane
deeploc_train_381,Cell.membrane
deeploc_train_382,Cell.membrane
deeploc_train_383,Cell.membrane
deeploc_train_384,Cell.membrane
deeploc_train_385,Cell.membrane
deeploc_train_386,Cell.membrane
deeploc_train_387,Cell.membrane
deeploc_train_388,Cell.membrane
deeploc_train_389,Cell.membrane
deeploc_train_390,Cell.membrane
deeploc_train_391,Cell.membrane
deeploc_train_392,Cell.membrane
deeploc_train_393,Cell.membrane
deeploc_train_394,Cell.membrane
deeploc_train_395,Cell.membrane
deeploc_train_396,Cell.membrane
deeploc_train_397,Cell.membrane
deeploc_train_398,Cell.membrane
deeploc_train_399,Cell.membrane
deeploc_train_400,Cell.membrane
deeploc_train_401,Cell.membrane
deeploc_train_402,Cell.membrane
deeploc_train_403,Cell.membrane
deeploc_train_404,Cell.membrane
deeploc_train_405,Cell.membrane
deeploc_train_406,Cell.membrane
deeploc_train_407,Cell.membrane
deeploc_train_408,Cell.membrane
deeploc_train_409,Cell.membrane
deeploc_train_410,Cell.membrane
deeploc_train_411,Cell.membrane
deeploc_train_412,Cell.membrane
deeploc_train_413,Cell.membrane
deeploc_train_414,Cell.membrane
deeploc_train_415,Cell.membrane
deeploc_train_416,Cell.membrane
deeploc_train_417,Cell.membrane
deeploc_train_418,Cell.membrane
deeploc_train_419,Cell.membrane
deeploc_train_420,Cell.membrane
deeploc_train_421,Cell.membrane
deeploc_train_422,Cell.membrane
deeploc_train_423,Cell.membrane
deeploc_train_424,Cell.membrane
deeploc_train_425,Cell.membrane
deeploc_train_426,Cell.membrane
deeploc_train_427,Cell.membrane
deeploc_train_428,Cell.membrane
deeploc_train_429,Cell.membrane
deeploc_train_430,Cell.membrane
deeploc_train_431,Cell.membrane
deeploc_train_432,Cell.membrane
deeploc_train_433,Cell.membrane
deeploc_train_434,Cell.membrane
deeploc_train_435,Cell.membrane
deeploc_train_436,Cell.membrane
deeploc_train_437,Cell.membrane
deeploc_train_438,Cell.membrane
deeploc_train_439,Cell.membrane
deeploc_train_440,Cell.membrane
deeploc_train_441,Cell.membrane
deeploc_train_442,Cell.membrane
deeploc_train_443,Cell.membrane
deeploc_train_444,Cell.membrane
deeploc_train_445,Cell.membrane
deeploc_train_446,Cell.membrane
deeploc_train_447,Cell.membrane
deeploc_train_448,Cell.membrane
deeploc_train_449,Cell.membrane
deeploc_train_450,Cell.membrane
deeploc_train_451,Cell.membrane
deeploc_train_452,Cell.membrane
deeploc_train_453,Cell.membrane
deeploc_train_454,Cell.membrane
deeploc_train_455,Cell.membrane
deeploc_train_456,Cell.membrane
deeploc_train_457,Cell.membrane
deeploc_train_458,Cell.membrane
deeploc_train_459,Cell.membrane
deeploc_train_460,Cell.membrane
deeploc_train_461,Cell.membrane
deeploc_train_462,Cell.membrane
deeploc_train_463,Cell.membrane
deeploc_train_464,Cell.membrane
deeploc_train_465,Cell.membrane
deeploc_train_466,Cell.membrane
deeploc_train_467,Cell.membrane
deeploc_train_468,Cell.membrane
deeploc_train_469,Cell.membrane
deeploc_train_470,Cell.membrane
deeploc_train_471,Cell.membrane
deeploc_train_472,Cell.membrane
deeploc_train_473,Cell.membrane
deeploc_train_474,Cell.membrane
deeploc_train_475,Cytoplasm
deeploc_train_476,Cytoplasm
deeploc_train_477,Cytoplasm
deeploc_train_478,Cytoplasm
deeploc_train_479,Cytoplasm
deeploc_train_480,Cytoplasm
deeploc_train_481,Cytoplasm
deeploc_train_482,Cytoplasm
deeploc_train_483,Cytoplasm
deeploc_train_484,Cytoplasm
deeploc_train_485,Cytoplasm
deeploc_train_486,Cytoplasm
deeploc_train_487,Cytoplasm
deeploc_train_488,Cytoplasm
deeploc_train_489,Cytoplasm
deeploc_train_490,Cytoplasm
deeploc_train_491,Cytoplasm
deeploc_train_492,Cytoplasm
deeploc_train_493,Cytoplasm
deeploc_train_494,Cytoplasm
deeploc_train_495,Cytoplasm
deeploc_train_496,Cytoplasm
deeploc_train_497,Cytoplasm
deeploc_train_498,Cytoplasm
deeploc_train_499,Cytoplasm
deeploc_train_500,Cytoplasm
deeploc_train_501,Cytoplasm
deeploc_train_502,Cytoplasm
deeploc_train_503,Cytoplasm
deeploc_train_504,Cytoplasm
deeploc_train_505,Cytoplasm
deeploc_train_506,Cytoplasm
deeploc_train_507,Cytoplasm
deeploc_train_508,Cytoplasm
deeploc_train_509,Cytoplasm
deeploc_train_510,Cytoplasm
deeploc_train_511,Cytoplasm
deeploc_train_512,Cytoplasm
deeploc_train_513,Cytoplasm
deeploc_train_514,Cytoplasm
deeploc_train_515,Cytoplasm
deeploc_train_516,Cytoplasm
deeploc_train_517,Cytoplasm
deeploc_train_518,Cytoplasm
deeploc_train_519,Cytoplasm
deeploc_train_520,Cytoplasm
deeploc_train_521,Cytoplasm
deeploc_train_522,Cytoplasm
deeploc_train_523,Cytoplasm
deeploc_train_524,Cytoplasm
deeploc_train_525,Cytoplasm
deeploc_train_526,Cytoplasm
deeploc_train_527,Cytoplasm
deeploc_train_528,Cytoplasm
deeploc_train_529,Cytoplasm
deeploc_train_530,Cytoplasm
deeploc_train_531,Cytoplasm
deeploc_train_532,Cytoplasm
deeploc_train_533,Cytoplasm
deeploc_train_534,Cytoplasm
deeploc_train_535,Cytoplasm
deeploc_train_536,Cytoplasm
deeploc_train_537,Cytoplasm
deeploc_train_538,Cytoplasm
deeploc_train_539,Cytoplasm
deeploc_train_540,Cytoplasm
deeploc_train_541,Cytoplasm
deeploc_train_542,Cytoplasm
deeploc_train_543,Cytoplasm
deeploc_train_544,Cytoplasm
deeploc_train_545,Cytoplasm
deeploc_train_546,Cytoplasm
deeploc_train_547,Cytoplasm
deeploc_train_548,Cytoplasm
deeploc_train_549,Cytoplasm
deeploc_train_550,Cytoplasm
deeploc_train_551,Cytoplasm
deeploc_train_552,Cytoplasm
deeploc_train_553,Cytoplasm
deeploc_train_554,Cytoplasm
deeploc_train_555,Cytoplasm
deeploc_train_556,Cytoplasm
deeploc_train_557,Cytoplasm
deeploc_train_558,Cytoplasm
deeploc_train_559,Cytoplasm
deeploc_train_560,Cytoplasm
deeploc_train_561,Cytoplasm
deeploc_train_562,Cytoplasm
deeploc_train_563,Cytoplasm
deeploc_train_564,Cytoplasm
deeploc_train_565,Cytoplasm
deeploc_train_566,Cytoplasm
deeploc_train_567,Cytoplasm
deeploc_train_568,Cytoplasm
deeploc_train_569,Cytoplasm
deeploc_train_570,Cytoplasm
deeploc_train_571,Cytoplasm
deeploc_train_572,Cytoplasm
deeploc_train_573,Cytoplasm
deeploc_train_574,Cytoplasm
deeploc_train_575,Cytoplasm
deeploc_train_576,Cytoplasm
deeploc_train_577,Cytoplasm
deeploc_train_578,Cytoplasm
deeploc_train_579,Cytoplasm
deeploc_train_580,Cytoplasm
deeploc_train_581,Cytoplasm
deeploc_train_582,Cytoplasm
deeploc_train_583,Cytoplasm
deeploc_train_584,Cytoplasm
deeploc_train_585,Cytoplasm
deeploc_train_586,Cytoplasm
deeploc_train_587,Cytoplasm
deeploc_train_588,Cytoplasm
deeploc_train_589,Cytoplasm
deeploc_train_590,Cytoplasm
deeploc_train_591,Cytoplasm
deeploc_train_592,Cytoplasm
deeploc_train_593,Cytoplasm
deeploc_train_594,Cytoplasm
deeploc_train_595,Cytoplasm
deeploc_train_596,Cytoplasm
deeploc_train_597,Cytoplasm
deeploc_train_598,Cytoplasm
deeploc_train_599,Cytoplasm
deeploc_train_600,Cytoplasm
deeploc_train_601,Cytoplasm
deeploc_train_602,Cytoplasm
deeploc_train_603,Cytoplasm
deeploc_train_604,Cytoplasm
deeploc_train_605,Cytoplasm
deeploc_train_606,Cytoplasm
deeploc_train_607,Cytoplasm
deeploc_train_608,Cytoplasm
deeploc_train_609,Cytoplasm
deeploc_train_610,Cytoplasm
deeploc_train_611,Cytoplasm
deeploc_train_612,Cytoplasm
deeploc_train_613,Cytoplasm
deeploc_train_614,Cytoplasm
deeploc_train_615,Cytoplasm
deeploc_train_616,Cytoplasm
deeploc_train_617,Cytoplasm
deeploc_train_618,Cytoplasm
deeploc_train_619,Cytoplasm
deeploc_train_620,Cytoplasm
deeploc_train_621,Cytoplasm
deeploc_train_622,Cytoplasm
deeploc_train_623,Cytoplasm
deeploc_train_624,Cytoplasm
deeploc_train_625,Cytoplasm
deeploc_train_626,Cytoplasm
deeploc_train_627,Cytoplasm
deeploc_train_628,Cytoplasm
deeploc_train_629,Cytoplasm
deeploc_train_630,Cytoplasm
deeploc_train_631,Cytoplasm
deeploc_train_632,Cytoplasm
deeploc_train_633,Cytoplasm
deeploc_train_634,Cytoplasm
deeploc_train_635,Cytoplasm
deeploc_train_636,Cytoplasm
deeploc_train_637,Cytoplasm
deeploc_train_638,Cytoplasm
deeploc_train_639,Cytoplasm
deeploc_train_640,Cytoplasm
deeploc_train_641,Cytoplasm
deeploc_train_642,Cytoplasm
deeploc_train_643,Cytoplasm
deeploc_train_644,Cytoplasm
deeploc_train_645,Cytoplasm
deeploc_train_646,Cytoplasm
deeploc_train_647,Cytoplasm
deeploc_train_648,Cytoplasm
deeploc_train_649,Cytoplasm
deeploc_train_650,Cytoplasm
deeploc_train_651,Cytoplasm
deeploc_train_652,Cytoplasm
deeploc_train_653,Cytoplasm
deeploc_train_654,Cytoplasm
deeploc_train_655,Cytoplasm
deeploc_train_656,Cytoplasm
deeploc_train_657,Cytoplasm
deeploc_train_658,Cytoplasm
deeploc_train_659,Cytoplasm
deeploc_train_660,Cytoplasm
deeploc_train_661,Cytoplasm
deeploc_train_662,Cytoplasm
deeploc_train_663,Cytoplasm
deeploc_train_664,Cytoplasm
deeploc_train_665,Cytoplasm
deeploc_train_666,Cytoplasm
deeploc_train_667,Cytoplasm
deeploc_train_668,Cytoplasm
deeploc_train_669,Cytoplasm
deeploc_train_670,Cytoplasm
deeploc_train_671,Cytoplasm
deeploc_train_672,Cytoplasm
deeploc_train_673,Cytoplasm
deeploc_train_674,Cytoplasm
deeploc_train_675,Cytoplasm
deeploc_train_676,Cytoplasm
deeploc_train_677,Cytoplasm
deeploc_train_678,Cytoplasm
deeploc_train_679,Cytoplasm
deeploc_train_680,Cytoplasm
deeploc_train_681,Cytoplasm
deeploc_train_682,Cytoplasm
deeploc_train_683,Cytoplasm
deeploc_train_684,Cytoplasm
deeploc_train_685,Cytoplasm
deeploc_train_686,Cytoplasm
deeploc_train_687,Cytoplasm
deeploc_train_688,Cytoplasm
deeploc_train_689,Cytoplasm
deeploc_train_690,Cytoplasm
deeploc_train_691,Cytoplasm
deeploc_train_692,Cytoplasm
deeploc_train_693,Cytoplasm
deeploc_train_694,Cytoplasm
deeploc_train_695,Cytoplasm
deeploc_train_696,Cytoplasm
deeploc_train_697,Cytoplasm
deeploc_train_698,Cytoplasm
deeploc_train_699,Cytoplasm
deeploc_train_700,Cytoplasm
deeploc_train_701,Cytoplasm
deeploc_train_702,Cytoplasm
deeploc_train_703,Cytoplasm
deeploc_train_704,Cytoplasm
deeploc_train_705,Cytoplasm
deeploc_train_706,Cytoplasm
deeploc_train_707,Cytoplasm
deeploc_train_708,Cytoplasm
deeploc_train_709,Cytoplasm
deeploc_train_710,Cytoplasm
deeploc_train_711,Cytoplasm
deeploc_train_712,Cytoplasm
deeploc_train_713,Cytoplasm
deeploc_train_714,Cytoplasm
deeploc_train_715,Cytoplasm
deeploc_train_716,Cytoplasm
deeploc_train_717,Cytoplasm
deeploc_train_718,Cytoplasm
deeploc_train_719,Cytoplasm
deeploc_train_720,Cytoplasm
deeploc_train_721,Cytoplasm
deeploc_train_722,Cytoplasm
deeploc_train_723,Cytoplasm
deeploc_train_724,Cytoplasm
deeploc_train_725,Cytoplasm
deeploc_train_726,Cytoplasm
deeploc_train_727,Cytoplasm
deeploc_train_728,Cytoplasm
deeploc_train_729,Cytoplasm
deeploc_train_730,Cytoplasm
deeploc_train_731,Cytoplasm
deeploc_train_732,Cytoplasm
deeploc_train_733,Cytoplasm
deeploc_train_734,Cytoplasm
deeploc_train_735,Cytoplasm
deeploc_train_736,Cytoplasm
deeploc_train_737,Cytoplasm
deeploc_train_738,Cytoplasm
deeploc_train_739,Cytoplasm
deeploc_train_740,Cytoplasm
deeploc_train_741,Cytoplasm
deeploc_train_742,Cytoplasm
deeploc_train_743,Cytoplasm
deeploc_train_744,Cytoplasm
deeploc_train_745,Cytoplasm
deeploc_train_746,Cytoplasm
deeploc_train_747,Cytoplasm
deeploc_train_748,Cytoplasm
deeploc_train_749,Cytoplasm
deeploc_train_750,Cytoplasm
deeploc_train_751,Cytoplasm
deeploc_train_752,Cytoplasm
deeploc_train_753,Cytoplasm
deeploc_train_754,Cytoplasm
deeploc_train_755,Cytoplasm
deeploc_train_756,Cytoplasm
deeploc_train_757,Cytoplasm
deeploc_train_758,Cytoplasm
deeploc_train_759,Cytoplasm
deeploc_train_760,Cytoplasm
deeploc_train_761,Cytoplasm
deeploc_train_762,Cytoplasm
deeploc_train_763,Cytoplasm
deeploc_train_764,Cytoplasm
deeploc_train_765,Cytoplasm
deeploc_train_766,Cytoplasm
deeploc_train_767,Cytoplasm
deeploc_train_768,Cytoplasm
deeploc_train_769,Cytoplasm
deeploc_train_770,Cytoplasm
deeploc_train_771,Cytoplasm
deeploc_train_772,Cytoplasm
deeploc_train_773,Cytoplasm
deeploc_train_774,Cytoplasm
deeploc_train_775,Cytoplasm
deeploc_train_776,Cytoplasm
deeploc_train_777,Cytoplasm
deeploc_train_778,Cytoplasm
deeploc_train_779,Cytoplasm
deeploc_train_780,Cytoplasm
deeploc_train_781,Cytoplasm
deeploc_train_782,Cytoplasm
deeploc_train_783,Cytoplasm
deeploc_train_784,Cytoplasm
deeploc_train_785,Cytoplasm
deeploc_train_786,Cytoplasm
deeploc_train_787,Cytoplasm
deeploc_train_788,Cytoplasm
deeploc_train_789,Cytoplasm
deeploc_train_790,Cytoplasm
deeploc_train_791,Cytoplasm
deeploc_train_792,Cytoplasm
deeploc_train_793,Cytoplasm
deeploc_train_794,Cytoplasm
deeploc_train_795,Cytoplasm
deeploc_train_796,Cytoplasm
deeploc_train_797,Cytoplasm
deeploc_train_798,Cytoplasm
deeploc_train_799,Cytoplasm
deeploc_train_800,Cytoplasm
deeploc_train_801,Cytoplasm
deeploc_train_802,Cytoplasm
deeploc_train_803,Cytoplasm
deeploc_train_804,Cytoplasm
deeploc_train_805,Cytoplasm
deeploc_train_806,Cytoplasm
deeploc_train_807,Cytoplasm
deeploc_train_808,Cytoplasm
deeploc_train_809,Cytoplasm
deeploc_train_810,Cytoplasm
deeploc_train_811,Cytoplasm
deeploc_train_812,Cytoplasm
deeploc_train_813,Cytoplasm
deeploc_train_814,Cytoplasm
deeploc_train_815,Cytoplasm
deeploc_train_816,Cytoplasm
deeploc_train_817,Cytoplasm
deeploc_train_818,Cytoplasm
deeploc_train_819,Cytoplasm
deeploc_train_820,Cytoplasm
deeploc_train_821,Cytoplasm
